"Unidade da Federação","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Rondônia","1178","1157","899","1122","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5333","-"
"Acre","560","560","550","602","1200","-","2291","1200","1272","-","-","-","-","-","-","-","-","-","-","-"
"Amazonas","1115","1095","1095","1136","1136","1181","1400","1000","1000","-","-","-","-","-","-","-","-","-","-","-"
"Roraima","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1350","1350","4200"
"Pará","459","567","800","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Amapá","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tocantins","1427","1504","-","1500","1548","2269","2339","2198","2967","2979","3121","3082","3430","3361","2976","2562","3898","3792","1828","3459"
"Maranhão","1642","971","1500","3227","3118","3246","3375","3483","2587","2587","2762","3303","3288","3665","4030","4058","4102","4200","3189","3796"
"Piauí","103","918","360","346","319","374","815","704","2712","2083","3396","2641","3670","3339","3600","3572","3901","3601","1461","3694"
"Ceará","407","660","693","521","880","1033","986","833","1059","805","1171","1257","1009","1167","214","1621","1807","296","1073","961"
"Rio Grande do Norte","560","356","659","401","657","638","660","638","670","735","699","783","3215","577","1462","1394","2351","975","3976","4486"
"Paraíba","662","582","725","405","1091","1055","881","521","1039","560","928","790","355","1675","758","1366","719","970","816","861"
"Pernambuco","319","463","610","233","350","506","618","628","708","695","699","777","665","767","425","-","636","1697","395","1400"
"Alagoas","249","295","328","476","651","174","295","314","293","263","230","286","273","298","148","486","459","488","467","484"
"Sergipe","118","200","-","-","-","-","-","-","-","-","-","-","-","-","743","2244","2244","-","-","-"
"Bahia","380","1183","2371","3004","2391","3221","3452","3195","3347","3726","3767","3167","3687","3800","3171","3141","3413","3599","3192","4121"
"Minas Gerais","1481","1575","2022","1692","2317","2514","2646","2676","2874","2957","3666","3687","3706","3539","3407","3296","3474","3707","3447","3734"
"Espírito Santo","-","-","-","-","-","-","-","-","-","1985","-","-","-","-","-","-","-","-","-","-"
"Rio de Janeiro","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"São Paulo","1570","2145","2253","2458","2446","2583","2597","2135","2605","2844","3322","2750","2372","2650","3182","3451","3453","3276","3116","3150"
"Paraná","1507","2266","2318","2454","2333","2386","1905","1376","1627","2114","2567","2382","2050","2821","1546","2372","-","-","-","-"
"Santa Catarina","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Rio Grande do Sul","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Mato Grosso do Sul","1896","2477","2638","3384","3449","3645","3346","2764","3190","3961","4051","3928","3855","3617","3573","4466","4377","4483","3763","4549"
"Mato Grosso","2545","3149","3890","3699","3478","3668","4011","3488","3664","3930","3861","3960","3462","3529","3849","3842","3889","4012","3664","4183"
"Goiás","1395","2378","2631","3061","2948","3071","3318","2897","3072","3581","3980","4142","4108","3844","3656","3851","3922","4102","2953","3904"
"Distrito Federal","-","-","3521","2947","2826","3364","2800","3462","3400","2715","-","-","-","2600","3500","-","-","-","-","4520"
