"Unidade da Federação","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Rondônia","36331","36916","46080","37724","74904","71287","71448","70325","67973","65291","64743","60018","61068","58130","58402","62625","68912","68054","69737","63862"
"Acre","31212","35146","31395","41117","37481","34799","35458","35829","36226","36338","47310","50000","53652","67462","67309","56154","54696","55318","38079","28292"
"Amazonas","48154","51531","53237","57643","57626","61288","61518","59238","58630","57649","60493","60834","64888","59602","68762","69952","65255","61544","62341","62341"
"Roraima","2306","2891","2891","3149","3013","3056","3403","3440","3440","3440","3448","3448","3464","3150","3073","9612","7630","13947","12481","12500"
"Pará","65886","57597","72556","65690","69306","69316","69404","69216","70575","71691","72843","71507","61402","56794","56145","67750","69041","69040","68760","68250"
"Amapá","23475","25871","22384","22388","20588","21505","23666","24375","27562","30375","29090","19928","31892","26369","28038","29211","31071","33185","34545","36128"
"Tocantins","40778","40858","41977","57800","54940","57127","58815","58607","54660","54555","62174","76786","73140","84817","67838","76241","78036","78693","78522","78757"
"Maranhão","51841","52475","55735","35812","60893","60998","61678","62040","58686","57676","61862","61310","62930","55044","60801","59196","57653","65516","55234","54577"
"Piauí","53605","57488","54632","56784","53155","54741","58153","64988","62734","63003","61610","66804","60671","64605","51691","51983","61185","57342","47336","54158"
"Ceará","45802","50928","51883","51393","49117","52317","51872","50918","55630","56143","53863","54417","53598","53417","49612","51153","46706","47361","44404","45578"
"Rio Grande do Norte","41399","37403","54778","50374","58110","64324","62241","60956","60967","62461","62301","63034","60655","60238","59863","57570","59182","62603","59846","59369"
"Paraíba","32771","38153","43828","49860","50407","54370","54549","47207","52181","51850","51369","51287","45647","54340","46556","49927","56404","56446","56290","53620"
"Pernambuco","48806","37987","49808","47080","50618","51537","52303","46632","52940","55079","54807","55198","54543","56689","47490","49976","50894","51586","51808","48808"
"Alagoas","61880","59498","62027","62972","57469","65486","62103","58319","58413","60837","67327","61759","56146","67307","63869","63301","63999","67253","60982","54343"
"Sergipe","60575","60671","64263","64702","66274","63883","67316","66154","61390","62201","62465","62177","64176","65428","64878","62029","62244","59530","42930","48115"
"Bahia","52007","53266","53169","54691","55321","56692","57649","61443","58995","58660","56116","56434","60662","60191","58471","57455","56515","59477","59225","61992"
"Minas Gerais","60541","62629","64264","64500","65602","68595","72706","72717","74752","77967","78775","81584","81180","81475","80914","80020","76206","75767","76932","76871"
"Espírito Santo","51151","50058","54104","53151","62746","65224","67851","65880","65680","64467","66153","65489","65296","61216","63311","52345","53428","43306","39851","49979"
"Rio de Janeiro","44890","44631","44614","31423","45035","44700","50672","44892","45023","45075","47906","47966","47975","48888","48289","45825","51771","49372","44291","43922"
"São Paulo","77889","77160","76078","77490","79936","80913","81146","82602","82754","84591","85208","85423","85543","82093","78858","80397","72103","76602","79141","79217"
"Paraná","85833","80097","70887","81132","78253","85399","81703","73462","78364","85145","86184","90417","77268","69976","73136","75171","70545","75644","72985","66279"
"Santa Catarina","30037","31549","31881","37486","37665","38796","36619","36009","38494","41407","41849","40697","44371","47862","46017","47116","49240","47899","49010","48385"
"Rio Grande do Sul","31733","31751","29883","33366","32582","35321","32122","28019","35060","39896","38913","34306","41873","42363","32140","40737","42441","42793","42711","43632"
"Mato Grosso do Sul","73489","74291","59001","75817","76495","74923","73087","69543","78636","82682","84587","88213","87118","70341","67592","65973","68822","80498","78883","70902"
"Mato Grosso","72338","69576","62727","66770","71551","74571","69094","61157","67029","68426","72420","76042","68540","61901","69463","69610","68951","69450","69524","70371"
"Goiás","79529","71881","73017","78921","80473","78293","79403","79564","81906","80531","82553","83363","82949","78709","79617","80625","78396","77487","76301","77360"
"Distrito Federal","47415","46919","44460","44178","41384","45072","46600","51481","53711","53406","72207","84607","75270","74000","80000","89707","87313","87000","70000","83000"
