"Unidade da Federação","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Rondônia","2000","2064","3069","3140","2897","3038","2888","3099","2654","2914","3140","3202","3150","3171","3219","3196","3202","3204","3087","3261"
"Acre","2500","2500","-","-","-","-","-","2072","1200","3000","3000","3300","3300","3318","-","2702","2738","-","1500","2055"
"Amazonas","1356","1378","1378","1344","2116","2309","2368","2328","2326","2989","3000","3000","3000","3000","3000","3000","-","-","-","-"
"Roraima","-","-","-","-","-","-","2200","2800","2800","2900","2800","2800","2800","2800","2800","2698","2122","2342","2802","2407"
"Pará","1930","2112","2159","2279","2845","2825","2823","2986","2963","2875","2841","2891","2850","2995","3120","2669","3033","3034","3007","3262"
"Amapá","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2850","2578","2640","2850","2878"
"Tocantins","2166","2450","2492","2292","2275","2467","2573","2548","2313","2406","2714","2774","2809","3013","3074","2904","2915","2914","2321","2862"
"Maranhão","1984","2450","2544","2300","2358","2398","2655","2679","2431","2926","2995","2958","2675","2962","2949","2808","2769","2758","1586","2851"
"Piauí","1836","2568","2523","2074","1052","2643","2491","2818","2345","2234","3230","2821","2531","2982","2793","1727","2375","2659","1147","2907"
"Ceará","2000","-","-","-","2512","2400","3180","3000","3420","3102","3251","3400","3350","-","3366","-","-","-","-","-"
"Rio Grande do Norte","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Paraíba","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2400","-","-","-"
"Pernambuco","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Alagoas","-","-","-","-","-","-","2343","2981","2200","2400","2400","2411","-","-","-","-","-","1978","3041","2787"
"Sergipe","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bahia","2145","1982","2400","2040","1830","1830","2880","2760","2282","2700","3035","2551","3060","3361","2888","2283","2512","3134","2120","3248"
"Minas Gerais","2268","2327","2397","2198","2718","2637","2449","2625","2441","2732","2962","2962","2843","2899","2989","2933","2705","2654","3254","3468"
"Espírito Santo","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Rio de Janeiro","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"São Paulo","1949","2730","2224","2557","2705","2660","2377","2180","2510","2613","2749","2684","2853","2756","2785","3022","2468","3039","3290","3478"
"Paraná","2558","2781","2515","3057","2881","3017","2547","2284","2381","2963","2973","2307","3145","3393","2454","3347","2976","3288","3141","3663"
"Santa Catarina","2354","2142","2470","2687","2206","2770","2040","1732","2409","2883","2535","2578","3130","3259","2392","3043","2978","3287","3238","3698"
"Rio Grande do Sul","2037","1464","1593","2337","1702","2667","1396","654","1956","2552","2019","2099","2611","2876","1430","2698","2615","2983","2982","3385"
"Mato Grosso do Sul","2091","2606","2261","2925","2732","2898","1827","1836","2181","2820","2639","2367","3082","2923","2534","2909","2938","3108","3062","3473"
"Mato Grosso","2734","2836","3018","3054","3060","2937","2758","2908","2683","3009","3145","3080","3017","3223","3129","2959","3076","3106","2887","3290"
"Goiás","2465","2563","2744","2633","2840","2903","2351","2622","2414","2738","3029","2940","2965","3009","3146","3024","2814","2640","3093","3414"
"Distrito Federal","2424","2311","2766","2052","2731","2769","2670","3198","2700","2712","3150","3178","3196","3355","3200","2900","3000","2626","3300","3450"
