Unidade da Federação;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Rondônia;350251;359335;343489;283728;245980;291655;351157;386252;393201;383553;408939;436766;455482;546051;476280;447793;465183;505753;512621;585246
Acre;75309;81922;93973;91952;97794;97091;115864;117634;111638;107877;98425;84700;114815;121043;135180;118489;110554;103290;94552;87101
Amazonas;143673;152054;150327;147991;151422;138451;129033;164876;162948;144985;139022;140167;135465;146031;145647;135550;113173;100318;101189;103168
Roraima;35207;37432;37514;29994;38557;46744;59853;57923;54698;41908;46133;34833;34890;42135;43508;49804;47814;50600;52194;47578
Pará;1020205;1142087;1129737;946898;891509;990071;1028444;1061815;983007;950688;894926;859286;793733;795974;818833;888463;953116;1015293;1067313;1198721
Amapá;5900;6952;8602;12680;12791;12107;13056;14734;14309;15656;18463;20498;22341;22076;20925;24280;39384;30878;34078;38863
Tocantins;279382;294608;290097;309529;354883;409264;541537;687118;596696;583585;646558;612324;664195;705878;730965;834257;1034697;1199494;1227972;1278462
Maranhão;1130528;1151222;1213901;1255056;1295759;1413738;1520015;1605736;1608870;1620345;1629185;1588862;1729552;1751843;1795760;1845490;1975258;1802598;1571680;1783013
Piauí;692961;739704;755478;761232;801748;809849;920826;991698;1004273;1021277;1015856;1091208;1085916;1211926;1242537;1367561;1443676;1468590;1407874;1550591
Ceará;1166117;1402901;1472332;1343624;1492922;1498106;1425409;1271717;1380444;1457146;1516034;1565997;1249534;1561076;1207133;835020;1012060;1013029;961666;1109673
Rio Grande do Norte;263796;270029;318465;262006;323774;339704;403689;295036;322296;315991;332949;333071;188923;264702;174029;179007;198677;185483;172881;188138
Paraíba;396104;452277;571081;464989;512077;571175;624985;541080;588312;541641;602727;596949;387000;520883;315695;269807;332744;290582;327362;310676
Pernambuco;826661;948694;1057256;1000197;1065474;1027877;1034149;1048113;1049471;1045232;1209084;1103305;1008027;1048136;916379;501357;803733;762022;785004;723642
Alagoas;692764;679423;687491;681901;660519;569679;627238;627854;616775;618740;650900;626470;588088;574959;510664;553345;541293;432672;418072;471067
Sergipe;208093;223562;213578;216672;219446;256775;267024;261319;314330;295241;301765;311368;326608;304590;271294;279791;284818;282686;274342;260207
Bahia;2410163;2719444;2910098;2791302;3054580;3219344;3396708;3535027;3398365;3374656;3413864;3410816;3356322;3520869;3042539;3173428;3584274;3710681;3275959;3133149
Minas Gerais;2997389;3015838;2958733;2885899;2993543;3281050;3626812;3676705;3547511;3435778;3574571;3673694;3707924;3809903;3947905;4130827;4329431;4297197;4363801;4251179
Espírito Santo;172583;165466;151195;145919;155221;162525;166136;164362;154094;151164;159690;161451;144614;147384;141022;133936;131024;124941;106258;88513
Rio de Janeiro;218814;217063;206389;206597;198457;199190;211168;208228;201816;168004;169935;166885;167816;141384;157396;138238;121981;101833;79218;79665
São Paulo;4818187;4952553;4716173;4836170;4906919;5204285;5468870;5648446;5838923;5839811;6602359;6702900;6790397;6957714;7019758;7277216;7503691;7670689;7827257;8020736
Paraná;7543411;7652752;7853944;8002948;8404740;9279977;9457679;9297592;9054166;9210485;9620395;9894073;9533355;9740331;9857170;10337789;10587901;10494673;10598562;10528044
Santa Catarina;1602487;1634930;1633817;1643643;1655747;1717082;1757864;1743302;1714457;1690398;1680007;1652656;1591863;1554786;1490575;1523522;1545746;1517119;1502254;1496322
Rio Grande do Sul;6738015;6712808;6855647;6951412;7307665;7744954;8212434;8051809;7783099;7804492;7914625;7893148;7769356;7955427;8091176;8582911;8871226;8794564;8765576;8907020
Mato Grosso do Sul;1925990;1989272;2055107;2014829;2096103;2570366;3007135;3115191;3004163;3032633;3237782;3206201;3245163;3496823;3813582;4318120;4551748;4744300;4939289;5273371
Mato Grosso;3838904;4353762;4746968;4882136;5632992;6445164;7912796;8976694;8009276;7992055;8830550;8735355;9381244;9884223;11262263;12723490;13542011;14082687;14494519;15570194
Goiás;2814149;3026158;3060808;3120563;3460538;3715712;4272494;4291352;4040749;3918065;4187320;4409036;4470306;4889269;5244323;5601980;6100279;6087704;6306761;6399617
Distrito Federal;75923;77146;81554;81901;86301;98763;110167;122596;122096;125973;130177;119691;116670;125617;132508;134553;172931;158458;164712;160942

