"Unidade da Federação","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Rondônia","3228","1317","1448","758","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1456","-"
"Acre","56","56","33","53","48","-","110","126","28","-","-","-","-","-","-","-","-","-","-","-"
"Amazonas","29","23","23","25","25","13","7","1","1","-","-","-","-","-","-","-","-","-","-","-"
"Roraima","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1215","1215","10500"
"Pará","553","151","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Amapá","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tocantins","1876","170","-","300","418","7830","7607","2720","920","2130","6696","11558","14408","18653","22318","15242","18556","12903","7276","12520"
"Maranhão","345","277","699","8118","9725","10564","22395","29206","18611","18611","46737","42418","42855","61412","75059","75093","76249","89774","66690","85365"
"Piauí","1505","4438","4753","2832","2483","2611","9012","9771","24999","27521","49584","26153","20850","57020","74820","37273","44945","50875","7147","20033"
"Ceará","8594","38757","65991","10717","13185","14077","16077","8577","10131","4639","4869","3898","2196","3436","375","2176","2410","107","425","496"
"Rio Grande do Norte","1738","2781","14318","4395","11741","11322","13047","9229","8729","3626","5146","4574","1669","2117","478","329","496","275","1002","1126"
"Paraíba","1836","5978","17073","2535","7071","8633","19015","7087","7755","2884","2550","1546","430","2367","91","127","23","228","146","347"
"Pernambuco","197","810","6669","995","1877","1393","2305","2316","2289","1791","1990","1855","784","820","194","-","49","56","15","70"
"Alagoas","2086","1547","2023","6886","9524","905","2258","3959","3229","2165","785","395","314","155","8","35","39","39","28","15"
"Sergipe","39","16","-","-","-","-","-","-","-","-","-","-","-","-","26","101","101","-","-","-"
"Bahia","41532","50146","132675","170092","179971","276360","704163","822401","810253","1125240","1167947","916895","996220","1579841","1256090","924981","1163996","1196663","878645","814640"
"Minas Gerais","122255","81531","99743","69760","90588","85914","134966","153147","100049","89649","75241","55767","55810","114315","103011","66673","72473","67588","66401","69985"
"Espírito Santo","-","-","-","-","-","-","-","-","-","141","-","-","-","-","-","-","-","-","-","-"
"Rio de Janeiro","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"São Paulo","191070","156585","148230","166219","154200","167000","224700","231330","144370","118101","55573","37278","29658","39865","55853","48345","40738","14268","15246","13985"
"Paraná","170359","109157","125444","174771","84432","71720","90171","78722","22609","25903","16760","7746","203","3193","1906","223","-","-","-","-"
"Santa Catarina","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Rio Grande do Sul","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Mato Grosso do Sul","93229","114521","127839","169425","154105","159060","187296","176131","94116","183216","179155","144231","149369","220318","221224","174009","165061","137724","111410","131210"
"Mato Grosso","271038","630406","1002836","1525376","1141211","1065779","1884315","1682839","1437926","2204457","2083398","1415921","1454675","2539617","2804712","1867422","2384448","2303616","2220555","2578596"
"Goiás","260452","278363","254476","326150","301255","305187","469794","432045","202914","296553","286750","227307","180404","425825","352514","205167","267179","131995","86446","103871"
"Distrito Federal","-","-","2817","4117","4155","10900","11242","16553","9792","4195","-","-","-","1763","385","-","-","-","-","113"
