"Unidade da Federação","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Rondônia","1382","1561","1595","1767","1828","1851","2242","2248","1993","2053","2172","2314","2413","2690","2897","2756","2821","2808","3151","2852"
"Acre","1258","1380","1375","1367","1404","1406","1402","1316","1307","1287","1571","1528","1548","1459","1358","1386","1217","1341","1305","1337"
"Amazonas","1866","1916","1939","1808","2270","1680","1909","1378","1457","1887","2026","1797","1942","2016","2189","2409","2583","2098","2294","2354"
"Roraima","2604","3280","3280","4314","5144","5450","5286","5138","5056","5578","5718","5504","5504","5354","5395","5806","6551","6655","6839","7074"
"Pará","1355","1381","1378","1660","1759","2019","2143","2116","1908","1901","1844","1937","2079","2038","2151","2243","2400","2541","2496","2741"
"Amapá","800","796","800","832","1036","1307","1209","1227","900","840","1083","1114","1201","1069","1089","1112","1144","970","960","956"
"Tocantins","2449","2675","2637","2653","2230","2748","2580","2340","2159","2511","2687","2940","3242","3529","3133","4259","4700","5184","4822","6228"
"Maranhão","894","1437","1519","1360","1314","1388","1419","1277","1395","1354","1466","1326","1238","1509","1047","1193","1507","1316","955","1572"
"Piauí","600","1435","1469","1041","583","1397","1127","1293","1418","955","1686","1645","919","1857","1164","872","1387","1294","715","1559"
"Ceará","2188","2413","2532","1250","2134","2643","2255","2602","3130","2180","2980","2685","2317","2943","2056","2527","3015","2795","2376","2948"
"Rio Grande do Norte","1936","1031","1682","2910","2476","2952","2863","2502","2484","3565","3586","4035","4499","3167","2535","2500","2326","2808","4390","4211"
"Paraíba","1493","1215","1498","1143","1196","1226","1482","921","1408","713","1297","1238","234","1014","1086","366","646","368","195","616"
"Pernambuco","5303","4276","4137","5118","5337","5315","5546","5115","4300","4393","5496","5371","5443","5320","5478","5932","5658","5984","6453","5868"
"Alagoas","4031","4292","6327","5780","3900","4437","4262","3817","3938","4091","4137","5804","5769","5888","6407","4100","6110","5689","5580","6369"
"Sergipe","4401","4319","3838","4002","4320","4415","4414","4383","4563","4627","5089","4979","5105","5157","6380","6582","7232","6157","7218","7838"
"Bahia","1583","1457","1710","1130","1467","1727","2144","2376","1130","1663","1565","1768","1816","1952","1696","1480","1101","1108","1024","1700"
"Minas Gerais","1840","1889","2011","1883","2168","2174","2279","2264","2161","2183","2184","2247","2236","2125","2044","2198","2179","2423","2488","2503"
"Espírito Santo","2420","2683","2805","2955","2934","2412","2902","2912","2948","2983","2926","2969","2600","2749","2690","2772","2559","2564","2480","2462"
"Rio de Janeiro","2671","2811","3000","3020","3072","2949","3407","3525","3435","3398","3437","3602","3630","3671","3590","3787","3460","3224","3410","5553"
"São Paulo","2183","1776","1835","2583","2739","2904","2965","2890","2865","3280","3625","3718","4098","4230","4588","3858","4357","5085","5535","5516"
"Paraná","2138","2282","2249","2319","2445","2735","2678","2296","2895","3215","3676","3826","4124","4942","5076","5361","5677","5940","4635","6484"
"Santa Catarina","5355","5999","5920","6508","6719","7200","6705","6984","6943","6933","6649","6949","6922","6539","7398","6841","7223","7273","7128","7678"
"Rio Grande do Sul","4317","5689","5275","5534","5590","4883","6070","6067","6631","6737","6886","7187","6448","7648","7405","7473","7402","7738","7053","7925"
"Mato Grosso do Sul","3410","3795","3430","4179","4337","4836","4477","4362","4453","4956","5319","5315","5381","5341","6372","6180","6267","6147","5719","6452"
"Mato Grosso","2132","2377","2650","2557","2716","2851","2949","2651","2576","2572","2846","2825","2922","3186","3222","3154","3218","3237","2958","3141"
"Goiás","1637","1792","1959","1676","1908","2124","2233","2025","1999","2112","2365","2453","2449","2788","3115","3450","3940","4313","4765","5710"
"Distrito Federal","1880","2472","2975","1103","1593","2330","1980","3333","1000","3652","-","1508","2000","2700","2480","3000","-","-","-","-"
