"Unidade da Federação","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Rondônia","23143","20230","18893","19013","15730","24808","29651","49228","86870","55302","207438","253277","233527","218975","221870","309620","334636","159383","339481","236736"
"Acre","6180","6221","6907","9827","11432","18409","22977","25690","35248","37138","52609","38650","107251","179044","199370","152345","188976","197376","117244","20229"
"Amazonas","148122","184278","217847","238933","244165","227685","235431","340027","349847","343302","365983","368050","341186","302895","304751","288550","302066","232389","224429","241073"
"Roraima","466","801","801","1115","1082","1137","1256","1290","1290","1290","1376","1376","1455","1383","1300","4460","2808","3975","3008","2975"
"Pará","496256","240986","520082","386521","368712","367583","504225","505348","618316","677844","574660","698845","668738","715152","750378","935020","921704","918297","918560","859683"
"Amapá","1925","1811","1455","2015","1750","2000","2201","1755","2205","2430","3200","1395","4146","3428","3645","3885","4381","4480","4560","3107"
"Tocantins","119726","126867","149523","216173","151801","156815","160096","161873","193390","202620","392071","664284","715317","2164861","1859109","2074454","2805957","2855536","2974039","2935119"
"Maranhão","1122311","981129","1109805","770836","1407183","1703087","1652422","1968414","2306456","2440358","3005774","2824701","3176531","2673211","3011709","2948317","2665104","3124141","2520500","2482939"
"Piauí","491459","488648","395593","394197","409295","475868","524080","647675","640707","779482","778084","859513","779084","981605","807877","756191","903943","861393","726743","829102"
"Ceará","1852615","1942958","1791802","1729454","1668718","1742801","1762197","1787126","1617003","2251239","2270816","2323937","2306004","2209852","1996789","1674705","1176523","906912","715932","689418"
"Rio Grande do Norte","1946433","1596678","2376272","1750075","2846239","3153139","3257293","3286428","3391184","3836626","4105299","4259996","3962017","3581848","4267958","3806558","3899348","3724046","3615991","3723101"
"Paraíba","3478400","3187673","3986815","4895199","4985127","6074074","6364312","4975797","6059030","6222223","6297179","6302570","5646151","6417385","5865365","6094359","6761570","6801981","6908885","5369180"
"Pernambuco","19622244","12252857","15166588","15976847","17626183","18522067","19015069","17115218","17595676","19637061","20359720","19445241","19704071","19332281","14242228","14834139","15417362","15965218","13738711","12352698"
"Alagoas","28524092","26860452","27798034","28692902","25170606","27220770","26283941","23723803","23497027","24993144","29220000","26804130","24352340","29257108","27674454","28170950","26884220","20714441","18701217","17498101"
"Sergipe","1388874","1286118","1352624","1328088","1165378","1449316","1696508","1777372","1924975","2401966","2429603","2607155","2994819","3336034","3260251","3087048","3037432","3220415","2393110","2205631"
"Bahia","4860039","4799345","4878527","4357735","4447168","4751958","4943535","5592921","6150367","6279183","5689329","4630196","5868709","6992412","6894350","6753539","6705267","6227728","6413820","4765663"
"Minas Gerais","16918227","17556860","18706313","18974696","18230733","20787483","24331841","25386038","32212574","38741094","47914898","58384105","60603247","67732138","70521498","71619149","71086808","69017764","69934887","69721579"
"Espírito Santo","2403899","2439816","2375961","2481316","2996217","3785579","4079805","4240922","4206342","4436412","5176445","5249775","5314685","4682285","4650742","3968839","4075723","3320809","2706102","2504378"
"Rio de Janeiro","7537009","7466282","7085879","5091227","7215278","7234790","8653494","7554495","6835315","5965446","6582623","6481715","6394477","5137700","5692869","4955701","4783066","3919509","2514376","2352977"
"São Paulo","199783000","197144000","189040000","198932127","212707367","227980860","239527890","254809756","289299376","329095578","386061274","408451088","426572099","427364854","406152815","434079735","401332100","423419511","442282329","450424570"
"Paraná","26642268","27105958","23191970","27423873","28083023","31925805","32642730","29717100","33917335","45887548","51244227","53831791","48361207","44907862","47940989","48449908","47947529","47368045","47492657","40755157"
"Santa Catarina","484327","501004","509463","634759","656208","648989","603495","601869","660333","734562","756803","699068","422014","532656","499049","498535","563600","384625","373845","369083"
"Rio Grande do Sul","948229","1020267","958540","1044040","1075300","1136114","1025756","908930","1166717","1426978","1431081","1254475","1504692","1384967","981594","1126122","1043336","834500","761076","730267"
"Mato Grosso do Sul","6387788","6959048","5837456","7556956","8575190","9030833","9572305","9513818","12011538","15839993","21362034","25228392","34795664","34876698","37761461","42399659","44039431","43924003","51927246","46930191"
"Mato Grosso","9871489","10288549","8470098","11117894","12640658","14667046","14290810","12595990","13552228","15000313","15850786","16209589","14564724","14050998","17108709","19681574","19032094","20077293","19209764","19230604"
"Goiás","10187205","9376638","10162959","10253497","11674140","12907592","14001079","15642125","19049550","22387847","33112209","43666585","48000163","54903085","58348797","69376714","70152466","72066835","71054922","71381519"
"Distrito Federal","9246","12246","10804","13607","14733","15550","21436","25638","29756","30335","54661","66248","69475","65342","57360","40368","41037","39672","20720","31125"
