"Unidade da Federação","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Rondônia","14919","15639","15488","16081","15364","16374","16792","17269","17378","17550","16587","16842","17299","16997","17185","15792","21448","22055","22854","22572"
"Acre","13285","16753","16855","17577","17040","18847","19044","19392","15307","19055","21706","21685","20877","19445","19982","21411","28902","29315","28405","25363"
"Amazonas","9254","10152","10084","10085","9940","9610","9617","9615","8995","8959","11697","10225","11382","11802","11778","11632","11321","11444","11822","11439"
"Roraima","3000","13000","13000","10000","13291","13285","13308","13308","13280","13308","13308","13308","13303","13309","13309","17473","15152","22514","21533","22092"
"Pará","13451","14440","13913","14150","15173","15269","14897","15162","16169","16081","15741","15686","15489","15805","15322","15288","14274","15198","14612","14388"
"Amapá","10000","10035","9500","9521","10641","10535","10351","10625","10961","11212","10427","11380","12397","12183","11762","11369","11010","12550","12576","12953"
"Tocantins","15612","14978","14845","15183","14653","23424","19304","18934","19314","19203","18853","18712","18107","17927","17038","15564","18281","18791","17332","17298"
"Maranhão","6135","6653","6968","7357","7605","7539","7748","7974","8111","8276","7775","6682","7334","8577","7782","6987","8610","8527","8257","8451"
"Piauí","7024","8366","11419","10404","8200","9017","10535","7715","9674","9041","8498","8830","9581","10944","5254","4156","6075","6873","5438","7085"
"Ceará","6164","7442","8475","8680","9410","9236","9310","8820","9715","7520","9694","6617","5688","9833","5260","4584","7876","6134","6583","8454"
"Rio Grande do Norte","8393","7780","9067","8945","9350","10608","11198","11486","10711","10975","11233","11368","11195","11868","8111","10054","10486","10046","9367","10709"
"Paraíba","5921","8207","8497","8434","8441","9160","8931","9119","9372","9254","9769","9444","8854","9473","7695","9128","8793","8631","9428","9488"
"Pernambuco","8104","8113","9296","9328","10812","10545","10954","11149","11147","10620","10476","11100","11199","11132","7451","8307","8877","8843","5308","8469"
"Alagoas","12466","12504","14377","14183","12881","13205","14223","12953","11991","13250","13995","14064","15602","16348","15046","12322","12246","12988","11557","11284"
"Sergipe","14777","14165","14691","14539","14509","14479","14689","14470","14778","14772","14837","14847","14878","14925","14659","15092","15429","15541","14454","13290"
"Bahia","11583","12297","12997","12450","12571","11802","12440","12888","12748","13200","12946","12655","12255","11735","9925","10352","11001","11057","11235","6871"
"Minas Gerais","11854","12154","12970","12949","13849","14025","15104","15543","15037","15296","15358","15212","14326","14266","13802","13889","14278","14338","14525","14043"
"Espírito Santo","13420","15177","15708","15678","17137","16307","16871","17535","17586","17289","17243","17069","17299","16774","17665","17073","16775","16220","14900","15526"
"Rio de Janeiro","16074","15799","15333","14065","14795","14503","15138","15326","15010","13599","13597","13687","14994","15473","16501","15077","14176","13838","14146","12121"
"São Paulo","21405","21803","22378","24844","21364","23554","24803","23536","23443","24126","23477","24007","22372","23496","23416","24531","24074","23431","23587","23199"
"Paraná","20907","21202","20659","20915","23946","21229","19692","19931","22204","22376","23525","23866","23302","22680","24316","24126","25185","27056","26364","23681"
"Santa Catarina","16212","17964","17953","18664","18172","18965","18418","18342","18860","19512","19068","18233","18063","18425","18229","19302","18954","19217","18630","19203"
"Rio Grande do Sul","13961","14492","14369","14817","15096","14792","14020","12975","14842","15466","15761","15321","15632","16217","15097","16381","17203","17611","17450","17780"
"Mato Grosso do Sul","19547","18831","18181","18159","21418","21175","17042","16581","16884","17566","19729","19319","20356","20775","20534","21836","21975","22699","21641","21718"
"Mato Grosso","12683","13261","13258","12815","12503","13958","14356","13441","14111","14069","15083","14664","14002","14198","14646","14449","14954","14935","14686","14508"
"Goiás","14913","14783","14855","14914","14897","15088","15048","16053","16560","17085","16767","16255","16025","15975","16467","16671","16563","16331","16263","15151"
"Distrito Federal","14863","15317","16451","15000","15519","16555","16310","16756","16401","15735","15913","14823","14210","14000","16293","15423","15018","15060","15993","16431"
