"Unidade da Federação","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Rondônia","200513","218092","204146","169077","153014","197166","240380","245198","264430","249927","305601","368819","365980","340045","534423","449449","542279","787093","602411","933956"
"Acre","32904","38864","48379","45559","51508","50946","68252","60979","56612","56763","61088","57293","81125","81793","96687","124536","104984","94483","82329","89244"
"Amazonas","13302","17210","17966","14296","15329","22189","24956","34890","37069","29174","29313","29252","34880","35945","36697","27610","21430","16816","9929","8852"
"Roraima","13041","19500","19500","15510","19220","28440","24000","24000","24000","12800","12800","12800","12800","11800","11800","15438","15350","15528","17013","41374"
"Pará","498712","638531","532331","484092","416322","523816","570311","559698","576579","562032","622414","552104","519258","541128","604799","613546","590078","759662","643008","872065"
"Amapá","560","828","854","1465","1470","1059","926","1330","1530","1830","2406","2850","3233","2466","2120","2011","1958","1650","1517","1564"
"Tocantins","92868","86027","121387","121259","126700","140757","143157","156588","142149","157590","230270","250451","282475","312213","370940","350669","452126","639736","531685","841957"
"Maranhão","144278","242555","322264","320236","327318","381679","408853","402787","426203","466841","479728","524178","535853","646209","783491","1321683","1520047","1397831","682791","1631080"
"Piauí","56930","234205","229328","144540","82700","228388","134114","191839","229533","171101","321390","496279","342483","677623","769387","485043","1036825","1101439","600690","1439469"
"Ceará","93075","443417","623630","244580","629447","745317","379837","281713","760231","357342","752882","538962","174955","915286","122501","112741","347828","130887","114675","373425"
"Rio Grande do Norte","6866","10233","57564","7716","68722","69569","60570","23116","51647","28191","53771","42282","8119","47926","2489","11924","13167","4222","2943","4071"
"Paraíba","3114","14217","125242","7723","91870","123880","72899","61386","156854","73693","119202","101241","11507","62426","6548","27452","28249","10934","12613","26242"
"Pernambuco","15166","34930","139729","20514","86675","81458","65746","115949","195573","123816","178593","193059","69715","124028","22054","23922","53074","25867","13364","45598"
"Alagoas","20625","20919","42544","27510","40686","11889","29833","34435","38664","34111","52182","42382","23480","33393","1650","8749","11301","15800","13057","33507"
"Sergipe","73429","118215","86931","46726","38380","86595","136317","205577","184908","237129","584786","703294","750718","480476","290575","700902","762472","495729","140962","843762"
"Bahia","633343","895224","1321569","992852","849743","1216855","1610524","1616464","1124206","1635849","1884042","2157719","2223302","2051623","1882938","2109906","2920991","2681529","1580460","1915453"
"Minas Gerais","3708713","3911783","4232225","4021411","4808170","5326118","5952172","6243873","5152200","6066077","6611100","6536545","6089941","6536187","7625142","7447665","6966931","6839297","5843579","6752413"
"Espírito Santo","128029","125564","112342","114779","138045","132287","129579","122212","78377","91841","94641","97139","65537","81924","77233","62831","58221","30147","37897","37209"
"Rio de Janeiro","35255","33627","32026","26836","23255","22911","24852","26970","25786","22631","19734","19023","17678","18278","15009","13321","11062","6234","7563","8243"
"São Paulo","3656300","3811020","3060090","4200120","3943470","4732040","4647240","4093896","4378380","4190573","4681177","3674059","4026500","3362555","4478520","4408375","3983895","4688951","4592671","5178871"
"Paraná","7931656","8777466","7354043","12646564","9797816","14390104","10934582","8572364","11239987","14258086","15613442","11261704","13567096","12472720","16555330","17342302","15823241","15777409","13929989","17542688"
"Santa Catarina","2580846","2690312","3403265","3946870","3100031","4310934","3257770","2695211","2886139","3793364","4089215","3244500","3653803","3651825","2870450","3326366","3149729","3076480","2530363","3009582"
"Rio Grande do Sul","4362892","3212735","3936202","6134207","3901171","5426124","3376862","1485040","4528143","5969118","5231885","4186862","5633912","5772422","3155061","5419780","5389520","5563555","4729948","6058900"
"Mato Grosso do Sul","1694753","1924159","1069571","2185846","1381604","3071632","2374015","1291901","2342619","2972221","3675526","2181429","3782946","3628492","6477070","7573324","8251121","9727809","6029756","9821727"
"Mato Grosso","948659","1118851","1429672","1743043","2311368","3192813","3408968","3483266","4228423","6130082","7799413","8181984","8164273","7763942","15646716","20186020","18071316","21353295","15339785","29942322"
"Goiás","2544193","3468454","3659475","4157387","3389532","3632636","3523279","2855538","3297193","4155599","5101543","4980614","4676483","5743622","8230069","7686971","9088029","9512503","5804842","9996344"
"Distrito Federal","111731","132541","138725","121757","147266","179721","187564","227092","234242","264436","325203","282998","246219","263888","403111","420636","666390","528188","292474","460740"
