"Unidade da Federação","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Rondônia","15790","16100","36222","68687","83782","126396","163029","233281","273701","259069","311560","356836","385388","419522","470485","574900","614678","748429","759928","913454"
"Acre","300","300","-","-","-","-","-","114","24","300","150","165","330","282","-","154","1095","-","150","261"
"Amazonas","796","1460","1428","1530","3189","5211","5461","5136","5138","1931","600","612","540","540","660","60","-","-","-","-"
"Roraima","-","-","-","-","-","-","26400","36400","30800","20300","22400","3920","3920","10080","14000","40200","33950","55795","67347","45077"
"Pará","2438","2630","2602","2291","7535","43251","99437","204302","209864","154015","201111","206456","243616","317093","373398","506347","736947","1022677","1304598","1632115"
"Amapá","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","12906","40792","29370","42351","54400"
"Tocantins","123085","113363","144362","188226","244329","377638","652322","905328","742891","731672","894309","875428","991326","1193453","1276928","1557939","2094100","2418367","1922508","2410207"
"Maranhão","290438","409012","454781","491083","561718","660078","903998","996909","931142","1125094","1262665","1211085","1322363","1571418","1640183","1581687","1875792","2099507","1242772","2331688"
"Piauí","49864","82741","100963","128315","91014","308225","388193","559545","544086","484940","819258","780580","868493","1144033","1242574","920950","1488646","1772722","644263","2020195"
"Ceará","4","-","-","-","294","1560","1113","630","1026","1086","1665","3315","3417","-","3854","-","-","-","-","-"
"Rio Grande do Norte","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Paraíba","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","420","-","-","-"
"Pernambuco","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Alagoas","-","-","-","-","-","-","471","984","264","120","432","164","-","-","-","-","-","550","1043","1240"
"Sergipe","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bahia","1188000","1150000","1508115","1407600","1464000","1555500","2365290","2401872","1991400","2298000","2747634","2426298","3112929","3512568","3212789","2765533","3206364","4513633","3257119","5143899"
"Minas Gerais","1278007","1339224","1438829","1390635","1951342","2335446","2660714","2937243","2453975","2417996","2566350","2751431","2902464","2940857","3073499","3375690","3345549","3524055","4747494","5318554"
"Espírito Santo","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Rio de Janeiro","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"São Paulo","1027780","1421000","1190110","1355680","1560520","1708938","1854230","1703660","1648100","1243833","1446108","1327105","1412934","1271437","1566956","1844951","1709229","2406262","2792796","3291823"
"Paraná","7314138","7755284","7188386","8615187","9538774","11009946","10219005","9492153","9362901","11876790","11800466","9408991","14091829","15457911","10937896","15937620","14913173","17229378","17122294","19181853"
"Santa Catarina","511691","471619","524688","534321","529941","712175","641748","607413","798809","1111456","946463","993991","1378532","1490551","1079690","1586351","1668235","2000323","2139611","2447350"
"Rio Grande do Sul","6462515","4467110","4783895","6951830","5610518","9579297","5541714","2444540","7559291","9929005","7679939","8025322","10480026","11717548","5945243","12756577","13041720","15700264","16209892","18744186"
"Mato Grosso do Sul","2319161","2799117","2486120","3115030","3267084","4090892","3282705","3718514","4153542","4846031","4570771","4046223","5340462","5079581","4594359","5780519","6339386","7305608","7389990","9101890"
"Mato Grosso","7228052","7473028","8774470","9533286","11684885","12965983","14517912","17761444","15594221","15275087","17802976","17962819","18787783","20800544","21841292","23416774","26495884","27850954","26277303","30479870"
"Goiás","3409006","3419858","4092934","4052169","5405589","6319213","6091676","6983860","6017719","5937727","6604805","6809187","7252926","7703982","8398891","8913069","8938560","8606210","10239473","11372539"
"Distrito Federal","86375","65630","92921","71389","103104","119691","134523","188746","145746","142720","153443","155454","177065","184047","176160","152250","216000","180832","233888","241500"
